orthForm	phonesGL	sylLenGL	phonesIPLR	sylLenIPLR
διά	        Diά	        2	        Djά	        1
άγια	άjia	3	άja	2
αψιά	apsXά	2	apsiά	3
ήλιο	ίlio	3	ίLo	2
ήπια	ίpia	3	ίpXa	2
σιέλ	siέl	2	sXέl	1
αϊτός	aitόs	2	aitόs	3
βιάζω	viάzo	3	vjάzo	2
βόιδι	vόiDi	2	vόiDi	3
δόλια	DόLa	2	Dόlia	3
λάμια	lάmNa	2	lάmia	3
μίνιο	mίnio	3	mίNo	2
ρόιδο	rόiDo	2	rόiDo	3
σέπια	sέpXa	2	sέpia	3
σιωπώ	siopό	3	sXopό	2
τάπια	tάpXa	2	tάpia	3
τιάρα	tiάra	3	tXάra	2
αηδόνι	aiDόni	3	aiDόni	4
βάρδια	vάrDia	3	vάrDja	2
διαλύω	Dialίo	4	Djalίo	3
διάνος	Djάnos	2	Diάnos	3
διανύω	Dianίo	4	Djanίo	3
διόλου	Diόlu	3	Djόlu	2
έγνοια	έJnia	3	έJNa	2
ισιάδα	isXάDa	3	isiάDa	4
καημός	kaimόs	2	kaimόs	3
κλεψιά	klepsXά	2	klepsiά	3
λάγιος	lάjos	2	lάjios	3
μαϊμού	maimύ	2	maimύ	3
μπιέλα	bjέla	2	biέla	3
νοτιάς	notXάs	2	notiάs	3
πετριά	petriά	3	petrjά	2
σοβιέτ	soviέt	3	sovjέt	2
σπήλιο	spίlio	3	spίLo	2
φίλιος	fίlios	3	fίLos	2
αηδιάζω	aiDiάzo	4	aiDiάzo	5
γαϊδάρα	JaiDάra	3	JaiDάra	4
διάβαση	Diάvasi	4	Djάvasi	3
διάβημα	Diάvima	4	Djάvima	3
διαβολή	Diavolί	4	Djavolί	3
διαγωγή	DiaJojί	4	DjaJojί	3
διαθέτω	DiaTέto	4	DjaTέto	3
διακονώ	Djakonό	3	Diakonό	4
διαλογή	Dialojί	4	Djalojί	3
διάλυμα	Diάlima	4	Djάlima	3
διάλυση	Diάlisi	4	Djάlisi	3
διαμιάς	DiamNάs	3	DjamNάs	2
διαμονή	Diamonί	4	Djamonί	3
διανομή	Dianomί	4	Djanomί	3
διαπνοή	Diapnoί	4	Djapnoί	3
διάσελο	Djάselo	3	Diάselo	4
διατάζω	Diatάzo	4	Djatάzo	3
διατηρώ	Diatirό	4	Djatirό	3
διαφέρω	Diafέro	4	Djafέro	3
διαφορά	Djaforά	3	Diaforά	4
διαφωνώ	Diafonό	4	Djafonό	3
ερωδιός	eroDiόs	4	eroDjόs	3
καϊμάκι	kaimάci	3	kaimάci	4
κορόιδο	korόiDo	3	korόiDo	4
μανόλια	manόLa	3	manόlia	4
μοναξιά	monaksXά	3	monaksiά	4
νεράιδα	nerάiDa	3	nerάiDa	4
